Page,Text,Link,Content
1,Flight map shows firefighting efforts,https://flowingdata.com/2025/02/07/flight-map-shows-firefighting-efforts/,
1,Federal worker resignations,https://flowingdata.com/2025/02/07/federal-worker-resignations/,
1,Archiving effort to preserve Data.gov,https://flowingdata.com/2025/02/06/archiving-effort-to-preserve-data-gov/,
1,Partial Data Reflections,https://flowingdata.com/2025/02/06/process-323-reflections/,
1,Common four-digit PINs of others,https://flowingdata.com/2025/02/06/using-the-same-four-digit-pin-as-others/,
1,Tracking daily federal expenditures,https://flowingdata.com/2025/02/05/tracking-daily-federal-expenditures/,
1,Download CDC data through Internet Archive,https://flowingdata.com/2025/02/05/download-cdc-data-through-internet-archive/,
1,Geographic boundary data and microdata from Census Bureau is offline,https://flowingdata.com/2025/02/04/geographic-boundary-data-from-census-bureau-is-offline/,
1,Data bead bracelets,https://flowingdata.com/2025/02/04/data-bead-bracelets/,
1,Book chart showing Barnes & Noble opening new stores,https://flowingdata.com/2025/02/03/barnes-noble-is-opening-new-stores/,
1,Health and climate data purge,https://flowingdata.com/2025/02/03/health-and-climate-data-purge/,
1,"About 8,000 U.S. government pages taken down",https://flowingdata.com/2025/02/02/about-8000-u-s-government-pages-taken-down/,
1,Checklist for federal data backups,https://flowingdata.com/2025/01/31/checklist-for-federal-data-backups/,
1,Preserving government data before it disappears completely,https://flowingdata.com/2025/01/31/preserving-government-data-before-it-disappears-completely/,
1,Data.cdc.gov goes offline,https://flowingdata.com/2025/01/31/data-cdc-gov-goes-offline/,
1,Census.gov is down,https://flowingdata.com/2025/01/31/census-gov-is-down/,
1,Mapping the American Airlines and Army helicopter collision,https://flowingdata.com/2025/01/31/mapping-the-american-airlines-and-army-helicopter-collision/,
1,"Census Bureau director resigns, 2025 edition",https://flowingdata.com/2025/01/31/census-bureau-director-resigns-2025-edition/,
1,See wind data on Mars through tele-present wind,https://flowingdata.com/2025/01/31/see-wind-data-on-mars-through-tele-present-wind/,
