Headline,Link,Summary
No headline found,https://www.nytimes.com/2025/02/07/upshot/elon-musk-federal-workers.html,"Sixty-five thousand have submitted resignations as part of Elon Musk’s “fork in the road” offer. But 150,000 voluntarily leave every year anyway."
No headline found,https://www.nytimes.com/interactive/2025/02/07/upshot/flashback.html,Can you sort 8 historical events?
No headline found,https://www.nytimes.com/interactive/2024/upshot/snow-forecast-totals-lookup.html,Type in your community to see the full range of possibilities in the next few days.
No headline found,https://www.nytimes.com/2025/02/04/upshot/covid-illnesses-mild-winter.html,But there have been plenty of other illnesses to go around.
No headline found,https://www.nytimes.com/2025/01/31/upshot/sanctuary-cities-trump-transportation-funds.html,A new order revives an old battle about how much an administration is allowed to coerce cities and states by withholding money.
No headline found,https://www.nytimes.com/interactive/2025/01/31/upshot/flashback.html,Can you sort 8 historical events?
No headline found,https://www.nytimes.com/interactive/2025/01/29/upshot/trump-omb-spreadsheet.html,"The White House’s Office of Management and Budget sent this document to government agencies listing about 2,600 programs that were under review."
No headline found,https://www.nytimes.com/interactive/2025/01/28/upshot/federal-programs-funding-trump-omb.html,The Trump administration ordered temporary freezes in funding for programs spanning virtually every part of the government. Here’s the full list.
No headline found,https://www.nytimes.com/interactive/2025/01/28/upshot/2025-republican-policy-proposals.html,208 policies that could become part of the congressional agenda this year.
No headline found,https://www.nytimes.com/interactive/2025/01/24/upshot/flashback.html,Can you sort 8 historical events?
No headline found,https://www.nytimes.com/2025/01/24/upshot/los-angeles-urban-fire-history.html,Rebuilding can be a chance to rethink things.
No headline found,https://www.nytimes.com/interactive/2025/01/19/upshot/biden-memories-poll.html,"A survey of more than 2,000 people offers an early look at his legacy."
No headline found,https://www.nytimes.com/interactive/2025/01/17/upshot/flashback.html,Can you sort 8 historical events?
No headline found,https://www.nytimes.com/interactive/2025/01/15/upshot/college-enrollment-race.html,Three findings from the first class to enter college without race-conscious admissions.
No headline found,https://www.nytimes.com/interactive/2025/02/13/upshot/nih-trump-funding-cuts.html,Changes to a key funding formula will reduce research grants at hospitals and universities by billions — and may discourage future research.
No headline found,https://www.nytimes.com/2025/02/05/upshot/government-buildings-photos.html,We’re documenting how federal buildings are changing during the transition to the new government.
No headline found,https://www.nytimes.com/interactive/2025/02/14/upshot/flashback.html,Can you sort 8 historical events?
